no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
533,Armand,Sloy,asloyes@house.gov,Perempuan,SMA 11,8,6.5,9,9,7,7.5,6.5,6.5,8.5,8.5,8.5,lulus
534,Floyd,Coffelt,fcoffeltet@geocities.jp,Perempuan,SMA 1,9,7,7,7.5,6.5,7,8,7.5,6.5,7.5,7,tidak lulus
535,Ardis,Frankiewicz,afrankiewiczeu@sogou.com,Laki-laki,SMA 8,8.5,8.5,7.5,8.5,8.5,8.5,8,9,8.5,9,8,tidak lulus
536,Heidi,Gregorio,hgregorioev@amazon.com,Perempuan,SMA 9,7.5,6.5,8,7,8.5,8.5,8,8.5,7.5,7.5,7.5,pertimbangan
537,Errick,Milksop,emilksopew@theguardian.com,Perempuan,SMA 10,8.5,8.5,7.5,8,6.5,8,8.5,8.5,8,7.5,7.5,tidak lulus
538,Jerry,Malatalant,jmalatalantex@opera.com,Laki-laki,SMA 4,7.5,8.5,8,6.5,8.5,9,7.5,7,9,8,6.5,lulus
539,Beatrix,Estick,bestickey@mit.edu,Laki-laki,SMA 9,8,9,8.5,6.5,9,6.5,8.5,9,7.5,7,8.5,tidak lulus
540,Linnea,Belchambers,lbelchambersez@economist.com,Laki-laki,SMA 8,9,7,9,7.5,8,6.5,8,6.5,7.5,9,7.5,lulus
541,Clint,Blurton,cblurtonf0@cbc.ca,Laki-laki,SMA 1,7,7,7.5,7,9,7.5,8,8.5,7,8.5,9,pertimbangan
542,Adena,Sheber,asheberf1@hubpages.com,Perempuan,SMA 9,7.5,7,7,6.5,8,8,8.5,8.5,7.5,7,7,tidak lulus
543,Jillene,Boulding,jbouldingf2@discuz.net,Laki-laki,SMA 5,6.5,8.5,7.5,8.5,6.5,6.5,9,9,8,9,8,pertimbangan
544,Tate,Plascott,tplascottf3@google.pl,Laki-laki,SMA 10,7,7,9,8.5,7,8.5,6.5,8,9,7.5,8,lulus
545,Alli,Race,aracef4@house.gov,Perempuan,SMA 4,6.5,9,9,7,6.5,7,9,9,8,8.5,8.5,lulus
546,Ario,Cicchinelli,acicchinellif5@woothemes.com,Perempuan,SMA 4,7,9,9,9,8,8.5,8.5,8,7,8,9,lulus
547,Leontine,Boatright,lboatrightf6@wikimedia.org,Perempuan,SMA 3,7,8.5,9,6.5,7,8.5,7.5,7.5,6.5,7,7,tidak lulus
548,John,Mattes,jmattesf7@parallels.com,Laki-laki,SMA 6,9,6.5,8,7.5,7,8,9,8.5,6.5,7.5,6.5,pertimbangan
549,Tisha,Batterham,tbatterhamf8@meetup.com,Laki-laki,SMA 10,8.5,8.5,8.5,6.5,7.5,7.5,8,9,9,8,8,pertimbangan
550,Marion,Kelston,mkelstonf9@xinhuanet.com,Perempuan,SMA 3,9,7,8.5,8,8.5,6.5,6.5,8.5,7.5,7,9,pertimbangan
551,Nicoli,McDunlevy,nmcdunlevyfa@constantcontact.com,Laki-laki,SMA 11,7.5,7.5,6.5,8.5,8,6.5,8.5,7,8.5,8.5,9,pertimbangan
552,Zared,Scambler,zscamblerfb@weibo.com,Laki-laki,SMA 9,7,7.5,8.5,9,7.5,8,9,8.5,7.5,8,7.5,tidak lulus
553,Nelli,Kerfut,nkerfutfc@devhub.com,Laki-laki,SMA 4,8.5,7.5,8,7,7.5,7.5,8,6.5,6.5,9,7.5,lulus
554,Merridie,Maydway,mmaydwayfd@feedburner.com,Perempuan,SMA 2,7,9,8,9,7.5,9,8,7,8,8,9,tidak lulus
555,Joanie,Lodwick,jlodwickfe@sciencedaily.com,Perempuan,SMA 10,7,6.5,8.5,8.5,8.5,8,7,8,8.5,8.5,9,lulus
556,Garrik,Perett,gperettff@technorati.com,Perempuan,SMA 9,8.5,7,7.5,8,7.5,8,9,9,8,8,6.5,tidak lulus
557,Diahann,Ardley,dardleyfg@so-net.ne.jp,Laki-laki,SMA 3,9,9,7.5,9,7,7.5,6.5,8.5,8.5,7,7.5,lulus
558,Kamilah,Willavize,kwillavizefh@so-net.ne.jp,Perempuan,SMA 6,9,7,7,7,8.5,9,9,7,6.5,6.5,8,tidak lulus
559,Christiano,Wakelam,cwakelamfi@nsw.gov.au,Perempuan,SMA 3,7.5,8,7.5,7,6.5,9,6.5,8.5,7.5,9,8,lulus
560,Creight,Hulatt,chulattfj@blog.com,Perempuan,SMA 11,9,7.5,6.5,9,7,8.5,8.5,7.5,7,8,6.5,tidak lulus
561,Keslie,Gaither,kgaitherfk@over-blog.com,Perempuan,SMA 11,8,9,7,7,7.5,7,7,8.5,8.5,7,9,tidak lulus
562,Vasily,Lawfull,vlawfullfl@vinaora.com,Perempuan,SMA 10,9,7,8,8.5,7.5,6.5,8,8,6.5,7,9,lulus
563,Maura,Scarisbrick,mscarisbrickfm@zdnet.com,Laki-laki,SMA 1,8,9,6.5,8.5,8,9,8,6.5,8,6.5,7,pertimbangan
564,Allis,Kibel,akibelfn@howstuffworks.com,Perempuan,SMA 11,7.5,9,8.5,7,9,9,8,7,7.5,7,9,pertimbangan
565,Vivian,Williamson,vwilliamsonfo@nifty.com,Perempuan,SMA 8,9,8.5,6.5,7,8.5,6.5,7.5,6.5,7,8,6.5,pertimbangan
566,Arel,Gebbie,agebbiefp@flavors.me,Laki-laki,SMA 5,7.5,7.5,8.5,7.5,9,8,8.5,6.5,7.5,8.5,6.5,lulus
567,Cristy,Balog,cbalogfq@fastcompany.com,Laki-laki,SMA 3,8,9,7,8.5,8.5,7.5,7.5,6.5,7,7,7.5,pertimbangan
568,Simone,Portingale,sportingalefr@vinaora.com,Laki-laki,SMA 2,7,9,9,7,7.5,8.5,8,7.5,7,8,7,lulus
569,Olly,Allright,oallrightfs@npr.org,Perempuan,SMA 9,9,7,7,8.5,9,9,7.5,9,6.5,8,9,pertimbangan
570,Willette,Gilliam,wgilliamft@cocolog-nifty.com,Laki-laki,SMA 2,7,7,8.5,7,9,8,7,9,8,8,7,tidak lulus
571,Mireille,Hall,mhallfu@vk.com,Perempuan,SMA 6,8,6.5,8.5,8.5,8,7.5,9,7,8.5,8.5,7,pertimbangan
572,Lorita,Carradice,lcarradicefv@yandex.ru,Perempuan,SMA 10,6.5,7.5,7.5,8.5,7.5,6.5,8,8.5,8,8,7,tidak lulus
573,Dirk,Tregian,dtregianfw@wix.com,Laki-laki,SMA 6,7,8.5,7,8,7,7.5,6.5,6.5,7.5,9,8,lulus
574,Royall,Barley,rbarleyfx@ow.ly,Laki-laki,SMA 11,9,6.5,7.5,8,8.5,9,8.5,6.5,8,7,8.5,lulus
575,Kristina,Primrose,kprimrosefy@noaa.gov,Perempuan,SMA 6,6.5,9,6.5,8,7.5,8,9,7.5,7.5,7,8.5,lulus
576,Holt,Fawthrop,hfawthropfz@umich.edu,Perempuan,SMA 2,6.5,8,8,8,6.5,8.5,7.5,9,8.5,6.5,7.5,lulus
577,Maxi,Fulloway,mfullowayg0@blog.com,Laki-laki,SMA 2,9,9,8,8,7,7.5,6.5,8,8.5,8.5,9,tidak lulus
578,Spike,Sherr,ssherrg1@accuweather.com,Laki-laki,SMA 7,7,8.5,6.5,9,7,7.5,9,6.5,9,8.5,8.5,pertimbangan
579,Mile,Kinastan,mkinastang2@ebay.com,Laki-laki,SMA 6,7.5,6.5,7.5,9,8,7,7,7.5,8,8.5,8.5,lulus
580,Davine,Warne,dwarneg3@woothemes.com,Laki-laki,SMA 4,8,6.5,8.5,6.5,6.5,9,8,8,7.5,6.5,9,lulus
581,Orella,McVane,omcvaneg4@bloglines.com,Perempuan,SMA 4,7.5,7.5,7,6.5,8.5,9,9,6.5,7,6.5,6.5,tidak lulus
582,Hanan,Corrado,hcorradog5@who.int,Perempuan,SMA 2,6.5,7.5,9,8,8,8,8,8,8,7.5,9,pertimbangan
583,Lennie,Duchant,lduchantg6@sina.com.cn,Laki-laki,SMA 5,8,6.5,8,9,8.5,7,7,9,6.5,8,7.5,pertimbangan
584,Lewiss,Tuke,ltukeg7@networkadvertising.org,Perempuan,SMA 1,8.5,7,9,9,9,8,9,6.5,7,7.5,7.5,tidak lulus
585,Hermy,Brymham,hbrymhamg8@google.pl,Laki-laki,SMA 11,8,8,8,7.5,9,7.5,8,7.5,7.5,9,8.5,lulus
586,Raynard,Pavis,rpavisg9@mysql.com,Laki-laki,SMA 7,8.5,6.5,7,7.5,7.5,8,7.5,8.5,8,9,6.5,pertimbangan
587,Shantee,Arne,sarnega@globo.com,Perempuan,SMA 9,7,8,9,7,9,6.5,7,7,7.5,7,8,lulus
588,Thatcher,Leyes,tleyesgb@reverbnation.com,Laki-laki,SMA 5,8,8,8,7,8,7.5,6.5,9,9,8,9,tidak lulus
589,Cara,Sparshott,csparshottgc@google.pl,Laki-laki,SMA 5,7.5,7,8.5,7.5,7,6.5,6.5,8.5,8,8.5,6.5,tidak lulus
590,Drucill,McTrustram,dmctrustramgd@huffingtonpost.com,Perempuan,SMA 11,8.5,7.5,7.5,6.5,8,9,9,8.5,7,8,6.5,lulus
591,Marsiella,Planks,mplanksge@trellian.com,Laki-laki,SMA 9,9,7.5,8.5,7.5,7,7,9,8,8,9,7,pertimbangan
592,Constantine,Kermeen,ckermeengf@ask.com,Perempuan,SMA 6,8,8,9,7.5,7.5,7.5,8.5,8,9,7,6.5,lulus
593,Gelya,Vernazza,gvernazzagg@zdnet.com,Perempuan,SMA 8,8.5,8,9,7,8.5,8,8.5,7.5,8,6.5,6.5,lulus
594,Katherina,Glison,kglisongh@cmu.edu,Laki-laki,SMA 6,9,8.5,9,6.5,7.5,7.5,7,8,6.5,6.5,8,pertimbangan
595,Miriam,Clyant,mclyantgi@reuters.com,Laki-laki,SMA 11,7,9,6.5,8,7.5,6.5,8,9,9,7,8,pertimbangan
596,Kevan,Lesaunier,klesauniergj@arstechnica.com,Perempuan,SMA 1,7.5,7.5,7,8,7,7,9,8.5,6.5,7,8.5,pertimbangan
597,Edee,Bartosiak,ebartosiakgk@youku.com,Perempuan,SMA 8,6.5,7,7,8.5,6.5,6.5,7,7.5,7.5,7,8.5,pertimbangan
598,Gerri,Brodley,gbrodleygl@who.int,Perempuan,SMA 9,6.5,9,7,8,6.5,7,7.5,9,8,8.5,7,lulus
599,Eadith,Bassham,ebasshamgm@newsvine.com,Perempuan,SMA 4,8.5,6.5,8.5,7.5,8.5,9,9,7.5,7.5,7,6.5,lulus
600,Lezley,Sallinger,lsallingergn@plala.or.jp,Perempuan,SMA 5,6.5,9,7.5,7,8.5,9,6.5,7.5,6.5,8.5,6.5,lulus
601,Pia,Landell,plandellgo@ovh.net,Laki-laki,SMA 9,8,8,8.5,8,7,6.5,6.5,8.5,7.5,8.5,8.5,lulus
602,Leigha,Lathaye,llathayegp@tinypic.com,Perempuan,SMA 7,6.5,8,8.5,7.5,7.5,7,6.5,7.5,9,7,7,pertimbangan
603,Nomi,Winkle,nwinklegq@shutterfly.com,Laki-laki,SMA 9,7,7,8,8,7.5,7.5,7.5,7,8.5,7.5,7.5,pertimbangan
604,Gardie,Beeswing,gbeeswinggr@cbslocal.com,Perempuan,SMA 2,7,7,9,7,6.5,9,7.5,8.5,7,7.5,9,tidak lulus
605,Hobard,Chezier,hcheziergs@wordpress.org,Laki-laki,SMA 1,8,9,7.5,8,9,8,9,8,8.5,7.5,8,tidak lulus
606,Felecia,Overstall,foverstallgt@rambler.ru,Perempuan,SMA 11,8.5,7,8.5,8,7.5,9,9,9,7.5,6.5,7,pertimbangan
607,Rora,McGarrell,rmcgarrellgu@deliciousdays.com,Perempuan,SMA 5,9,7,8,8.5,8,9,8,8,6.5,8.5,7.5,lulus
608,Eberhard,McKim,emckimgv@freewebs.com,Perempuan,SMA 7,7,8.5,7,7.5,8.5,7,8.5,8.5,8,7,7,lulus
609,Olva,Davys,odavysgw@arizona.edu,Laki-laki,SMA 1,8,9,8,9,7.5,9,8,9,6.5,7,7,pertimbangan
610,Madeleine,Matson,mmatsongx@archive.org,Laki-laki,SMA 9,6.5,7,6.5,7,9,8.5,7,6.5,9,9,6.5,lulus
611,Prudy,Easman,peasmangy@surveymonkey.com,Perempuan,SMA 11,8,9,8.5,7,8,9,9,8.5,8.5,6.5,8.5,tidak lulus
612,Wilmette,Ortler,wortlergz@yahoo.co.jp,Perempuan,SMA 5,9,8,8,8,7.5,8,7.5,6.5,7,9,6.5,tidak lulus
613,Costanza,Mac Geaney,cmacgeaneyh0@google.de,Laki-laki,SMA 7,8,9,6.5,7.5,8,9,7,7.5,7.5,7.5,6.5,tidak lulus
614,Currey,Stovold,cstovoldh1@guardian.co.uk,Perempuan,SMA 7,8.5,7.5,9,8,9,6.5,9,7.5,8,6.5,8.5,lulus
615,Ferdinande,Chellingworth,fchellingworthh2@drupal.org,Perempuan,SMA 9,7.5,8.5,8.5,9,6.5,8,7,9,8,9,7,tidak lulus
616,Filberte,Batchelder,fbatchelderh3@ycombinator.com,Perempuan,SMA 8,8.5,9,8,8.5,7,8,6.5,9,6.5,7.5,7,tidak lulus
617,Rriocard,Wiltshire,rwiltshireh4@woothemes.com,Laki-laki,SMA 2,8.5,7.5,7.5,8.5,7,7,8.5,8,8.5,7,6.5,pertimbangan
618,Carce,Exter,cexterh5@businesswire.com,Laki-laki,SMA 4,7.5,8,8.5,9,8,9,8,8,8.5,8.5,8.5,tidak lulus
619,Beatrisa,Glacken,bglackenh6@youku.com,Perempuan,SMA 5,7.5,7,6.5,8.5,7,6.5,9,8.5,7.5,8,8,lulus
620,Delaney,McAlpin,dmcalpinh7@google.co.uk,Laki-laki,SMA 10,9,6.5,7,7,9,7.5,9,8.5,7,7,6.5,tidak lulus
621,Rog,Merrien,rmerrienh8@patch.com,Perempuan,SMA 10,6.5,9,9,7,8,9,9,6.5,7.5,9,9,lulus
622,Albina,Lawful,alawfulh9@google.cn,Perempuan,SMA 2,7.5,7,7.5,6.5,7,8.5,7,8.5,7.5,6.5,8.5,lulus
623,Gweneth,Bull,gbullha@mapquest.com,Laki-laki,SMA 1,9,7,6.5,7,8.5,8,7,7.5,7.5,7,8,tidak lulus
624,Jeddy,Woolager,jwoolagerhb@engadget.com,Laki-laki,SMA 5,9,9,6.5,9,7,8,8.5,7.5,7.5,9,8.5,tidak lulus
625,Beverlie,Pinck,bpinckhc@about.me,Perempuan,SMA 9,6.5,7,6.5,9,6.5,7,6.5,8.5,7,7,7,pertimbangan
626,Cary,Greguol,cgreguolhd@cbsnews.com,Perempuan,SMA 7,7.5,6.5,7.5,7.5,8,9,6.5,8,7.5,6.5,9,tidak lulus
627,Hebert,Bulfit,hbulfithe@cpanel.net,Laki-laki,SMA 3,7.5,6.5,8.5,8,6.5,9,9,7.5,8.5,7.5,8.5,tidak lulus
628,Franz,Harmon,fharmonhf@washington.edu,Laki-laki,SMA 1,7,7,8.5,8,8,7,7,9,8.5,8,6.5,lulus
629,Vernor,Pau,vpauhg@odnoklassniki.ru,Laki-laki,SMA 8,8.5,7,8.5,6.5,7.5,7,7.5,8,8,9,7,lulus
630,Sherwood,Di Biasio,sdibiasiohh@netscape.com,Laki-laki,SMA 8,9,6.5,8.5,6.5,7.5,7,8,7.5,9,9,8.5,tidak lulus
631,Augusto,Petrol,apetrolhi@mlb.com,Laki-laki,SMA 1,8,7.5,7.5,8.5,7.5,7,8,6.5,8.5,8,7,pertimbangan
632,Phillip,Bottrill,pbottrillhj@gov.uk,Perempuan,SMA 7,7,7,6.5,6.5,6.5,7.5,8.5,6.5,7,9,8,lulus
633,Salli,Vannet,svannethk@smh.com.au,Perempuan,SMA 10,7.5,7.5,7.5,7.5,7,8.5,7,8,9,7,7.5,lulus
634,Marys,Jay,mjayhl@smh.com.au,Laki-laki,SMA 3,7,8,6.5,6.5,8.5,9,9,8.5,8.5,7.5,6.5,pertimbangan
635,Olivie,Kelwick,okelwickhm@yale.edu,Laki-laki,SMA 7,9,8,7,7,7,7,6.5,6.5,6.5,9,8.5,lulus
636,Natala,Strutton,nstruttonhn@mediafire.com,Perempuan,SMA 7,8.5,8.5,8,6.5,7.5,7.5,7.5,8.5,9,7.5,8,lulus
637,Charo,Emmott,cemmottho@cafepress.com,Laki-laki,SMA 1,8,8,7,7.5,6.5,6.5,7.5,7.5,6.5,6.5,9,lulus
638,Buddie,Ackrill,backrillhp@phpbb.com,Laki-laki,SMA 9,7,9,9,8.5,7,8.5,8,6.5,8,7.5,9,lulus
639,Bryce,Hearn,bhearnhq@state.gov,Laki-laki,SMA 5,8.5,7,8.5,8,8,9,6.5,8.5,9,7,7,lulus
640,Ruperta,Kettlesting,rkettlestinghr@usgs.gov,Laki-laki,SMA 1,8.5,8.5,9,8.5,6.5,8.5,8,8.5,8.5,8.5,6.5,lulus
641,Horatius,Travis,htravishs@techcrunch.com,Perempuan,SMA 6,8,7,6.5,9,9,8.5,7,7,8,6.5,7.5,tidak lulus
642,Reid,Hallede,rhalledeht@seattletimes.com,Perempuan,SMA 3,9,7,8,8,9,9,8.5,9,8,7.5,8.5,pertimbangan
643,Danice,McKibbin,dmckibbinhu@nymag.com,Perempuan,SMA 1,9,8.5,7,8.5,9,6.5,6.5,7.5,8,7,6.5,tidak lulus
644,Hanan,McWhannel,hmcwhannelhv@macromedia.com,Laki-laki,SMA 11,6.5,7,8,8.5,9,9,8.5,8.5,8,7,8,pertimbangan
645,Lyn,Nowland,lnowlandhw@newyorker.com,Laki-laki,SMA 3,6.5,9,9,9,8.5,8,6.5,9,9,6.5,7,tidak lulus
646,Suki,Bendel,sbendelhx@mac.com,Laki-laki,SMA 8,7,7.5,8,6.5,6.5,8,7,7,9,8.5,8,lulus
647,Yul,Pinkerton,ypinkertonhy@cafepress.com,Perempuan,SMA 2,7,8,9,8,7.5,7,7,8,8.5,7.5,8,tidak lulus
648,Emmanuel,Klemz,eklemzhz@wikia.com,Perempuan,SMA 2,6.5,9,8.5,7,6.5,7.5,8.5,8.5,7,9,8.5,tidak lulus
649,Lelah,Lafay,llafayi0@networksolutions.com,Laki-laki,SMA 1,9,6.5,9,8,6.5,9,8,7,7.5,7.5,8,lulus
650,Federica,Parris,fparrisi1@typepad.com,Laki-laki,SMA 9,7,9,7,7,7,7.5,8.5,8,7.5,7,7,tidak lulus
651,Tomasine,Moberley,tmoberleyi2@soup.io,Laki-laki,SMA 1,9,8,8.5,8.5,8,8.5,8.5,7.5,8.5,8,9,lulus
652,Adeline,Vondracek,avondraceki3@parallels.com,Perempuan,SMA 2,8.5,6.5,8.5,9,7.5,8,8.5,8.5,7,9,6.5,pertimbangan
653,Genna,Poolman,gpoolmani4@blogs.com,Laki-laki,SMA 6,7,7.5,8.5,8,7,8,8,6.5,7,8.5,7,pertimbangan
654,Monte,Zorer,mzoreri5@twitpic.com,Perempuan,SMA 8,7,9,7,8.5,8,9,6.5,8,7.5,7.5,7,tidak lulus
655,Kaylil,Screase,kscreasei6@ebay.com,Perempuan,SMA 4,7,9,8.5,7.5,8.5,9,8,8,8,6.5,8.5,lulus
656,Charil,Titmuss,ctitmussi7@illinois.edu,Perempuan,SMA 9,9,8.5,9,8,6.5,7.5,8,7,8,8.5,8.5,tidak lulus
657,Ethelda,Meddings,emeddingsi8@senate.gov,Laki-laki,SMA 3,7,8.5,8,7.5,8.5,9,8,6.5,6.5,8.5,6.5,tidak lulus
658,Delainey,Laguerre,dlaguerrei9@lulu.com,Laki-laki,SMA 11,7.5,7,7.5,7.5,8.5,8,7.5,7,9,8,8,lulus
659,Nonnah,O'Geneay,nogeneayia@odnoklassniki.ru,Perempuan,SMA 5,7,8,8,7.5,9,8,8.5,6.5,7.5,6.5,6.5,tidak lulus
660,Rosetta,Mapam,rmapamib@parallels.com,Perempuan,SMA 11,8,7,7.5,7,6.5,8,8.5,6.5,6.5,9,9,tidak lulus
661,Flo,Kondratenya,fkondratenyaic@sun.com,Perempuan,SMA 10,8,7,9,7,9,7.5,8,7,7.5,7.5,8.5,pertimbangan
662,Rozele,Dozdill,rdozdillid@netscape.com,Perempuan,SMA 1,6.5,8,7.5,6.5,7.5,7,7.5,6.5,6.5,9,8,pertimbangan
663,Carolann,Edmondson,cedmondsonie@va.gov,Perempuan,SMA 11,7.5,7,8.5,7.5,8,8,8.5,7.5,6.5,9,6.5,tidak lulus
664,Jorie,Need,jneedif@jigsy.com,Perempuan,SMA 2,7.5,7,8.5,9,6.5,9,8,7,8,7,9,pertimbangan
665,Abagael,McCrackan,amccrackanig@yahoo.com,Laki-laki,SMA 9,8.5,6.5,8.5,6.5,7.5,9,7,7.5,8.5,8.5,6.5,pertimbangan
666,Karleen,Lefever,klefeverih@usda.gov,Perempuan,SMA 4,7.5,6.5,8.5,9,6.5,6.5,7,7,7.5,6.5,6.5,lulus
667,Albert,Lambert-Ciorwyn,alambertciorwynii@opera.com,Laki-laki,SMA 5,8,7,9,7.5,9,8.5,8,7.5,7.5,8.5,6.5,tidak lulus
668,Cati,Featherbie,cfeatherbieij@4shared.com,Laki-laki,SMA 9,6.5,9,9,8.5,7.5,9,7,8,8,8,8.5,lulus
669,Benjamin,Stirman,bstirmanik@acquirethisname.com,Perempuan,SMA 4,7.5,6.5,7,8,8.5,6.5,7.5,8,8.5,8.5,6.5,lulus
670,Milty,Muxworthy,mmuxworthyil@jugem.jp,Perempuan,SMA 3,6.5,7.5,6.5,7.5,9,7.5,6.5,7,7,7,7,tidak lulus
671,Shawn,Felix,sfelixim@simplemachines.org,Laki-laki,SMA 8,7,7,8,7.5,8,9,7.5,6.5,7.5,7.5,6.5,lulus
672,Bette-ann,Beningfield,bbeningfieldin@linkedin.com,Perempuan,SMA 2,7,6.5,6.5,8.5,6.5,9,6.5,8.5,7,8,9,tidak lulus
673,Klaus,Stapylton,kstapyltonio@usda.gov,Perempuan,SMA 6,6.5,8.5,8.5,6.5,6.5,7.5,6.5,7,7.5,8,6.5,pertimbangan
674,Zak,Hallock,zhallockip@census.gov,Perempuan,SMA 7,7,8.5,8.5,8.5,7,9,7,9,6.5,9,8.5,lulus
675,Addie,Baccas,abaccasiq@wisc.edu,Perempuan,SMA 3,8.5,8,9,7,6.5,6.5,7,7,7.5,9,8.5,tidak lulus
676,Mariellen,Mereweather,mmereweatherir@123-reg.co.uk,Laki-laki,SMA 8,6.5,8,8,7,7.5,7.5,8,8.5,9,7,6.5,tidak lulus
677,Butch,Danielut,bdanielutis@theguardian.com,Perempuan,SMA 1,6.5,7.5,6.5,7.5,7,9,7,8,8,8.5,7.5,tidak lulus
678,Saidee,Jaspar,sjasparit@washington.edu,Laki-laki,SMA 5,7,6.5,8.5,7.5,8,8.5,7.5,7,6.5,6.5,7,lulus
679,Gabey,McGonnell,gmcgonnelliu@addtoany.com,Laki-laki,SMA 8,8.5,8.5,8,9,9,8,8,6.5,6.5,8,8.5,lulus
680,Hans,Whitters,hwhittersiv@instagram.com,Perempuan,SMA 10,6.5,8.5,9,7.5,6.5,7.5,7,8.5,8.5,8,9,tidak lulus
681,Etan,Zanicchelli,ezanicchelliiw@imdb.com,Laki-laki,SMA 6,7,6.5,8.5,9,9,9,7,6.5,9,7,8.5,lulus
682,Haywood,Coughlan,hcoughlanix@unicef.org,Laki-laki,SMA 6,8.5,8,9,6.5,6.5,8,6.5,7.5,7,8,6.5,lulus
683,Binnie,Kroch,bkrochiy@nasa.gov,Perempuan,SMA 6,7,7.5,6.5,8.5,7.5,7,7,7.5,8,6.5,8,pertimbangan
684,Norrie,Heddon,nheddoniz@wix.com,Perempuan,SMA 3,8,6.5,7.5,7,9,7,6.5,6.5,9,9,9,pertimbangan
685,Malissa,McBain,mmcbainj0@soup.io,Laki-laki,SMA 5,9,6.5,8.5,7.5,6.5,7.5,9,7.5,6.5,8.5,6.5,pertimbangan
686,Abdel,Smith,asmithj1@mapy.cz,Perempuan,SMA 11,9,9,9,8,7.5,7,8.5,6.5,7.5,8,7,pertimbangan
687,Felicio,Wooder,fwooderj2@sun.com,Laki-laki,SMA 1,9,6.5,7,8.5,8,7,8,9,9,7,8,tidak lulus
688,Darrelle,Minchenton,dminchentonj3@joomla.org,Laki-laki,SMA 2,9,7,8,7.5,6.5,6.5,9,7,6.5,8.5,8,lulus
689,Flori,Beste,fbestej4@163.com,Perempuan,SMA 4,8.5,8.5,7.5,8.5,7.5,8,6.5,7.5,7.5,8.5,7,tidak lulus
690,Sonny,Weatherley,sweatherleyj5@eepurl.com,Laki-laki,SMA 5,9,6.5,9,8,8.5,6.5,8,9,7,8,7.5,pertimbangan
691,Gottfried,Giamuzzo,ggiamuzzoj6@indiatimes.com,Perempuan,SMA 7,9,7.5,8.5,7.5,7.5,7,7,7.5,7,6.5,8,lulus
692,Dene,Coppledike,dcoppledikej7@studiopress.com,Perempuan,SMA 5,7.5,7,7.5,8,6.5,6.5,7.5,8.5,8,7.5,7,pertimbangan
693,Francoise,Hubbucks,fhubbucksj8@wunderground.com,Laki-laki,SMA 5,9,8.5,9,7.5,9,8,7,8.5,6.5,7,7,lulus
694,Luigi,Murrey,lmurreyj9@sbwire.com,Perempuan,SMA 7,6.5,6.5,7.5,6.5,8.5,7,7,7,7.5,8,8.5,pertimbangan
695,Kaiser,Forten,kfortenja@people.com.cn,Perempuan,SMA 3,6.5,6.5,8.5,7,6.5,6.5,6.5,7.5,7.5,9,8.5,pertimbangan
696,Dolores,MacConnell,dmacconnelljb@newsvine.com,Perempuan,SMA 4,9,8,7,8.5,7,9,7.5,9,7.5,7.5,6.5,pertimbangan
697,Duffie,Prandoni,dprandonijc@blinklist.com,Laki-laki,SMA 8,6.5,8.5,7.5,6.5,8,8,7.5,7.5,8.5,9,6.5,tidak lulus
698,Corri,Cashley,ccashleyjd@usa.gov,Laki-laki,SMA 10,6.5,8,9,6.5,8,8.5,7.5,8,8,6.5,8,lulus
699,Orv,Wigelsworth,owigelsworthje@wikimedia.org,Laki-laki,SMA 11,9,7.5,7.5,8.5,8.5,7,8.5,8,7,7.5,8,pertimbangan
700,Nels,Stiven,nstivenjf@goodreads.com,Perempuan,SMA 1,7.5,8.5,7.5,8.5,9,7,7.5,9,8,9,6.5,tidak lulus
701,Etti,Dugald,edugaldjg@buzzfeed.com,Perempuan,SMA 2,9,7,7,6.5,9,8.5,8,6.5,8,7,8.5,tidak lulus
702,Alvina,Mallison,amallisonjh@japanpost.jp,Laki-laki,SMA 7,7.5,6.5,8,9,9,7,6.5,7,6.5,7.5,7.5,tidak lulus
703,Dena,Winters,dwintersji@ustream.tv,Perempuan,SMA 2,9,8,8.5,8.5,9,7.5,7,9,9,7,7,lulus
704,Hope,Killich,hkillichjj@google.fr,Perempuan,SMA 4,7,9,8,9,8,8,8,7,8,7,7,tidak lulus
705,Harley,Paske,hpaskejk@chicagotribune.com,Laki-laki,SMA 5,8.5,6.5,9,7,6.5,8.5,8,7,8,8.5,8.5,pertimbangan
706,Alfreda,Gonsalo,agonsalojl@bbb.org,Laki-laki,SMA 2,8,9,8.5,7.5,9,8.5,7.5,9,7,7,8.5,pertimbangan
707,Bernie,Walisiak,bwalisiakjm@foxnews.com,Laki-laki,SMA 1,9,8,6.5,7,7.5,8,7,9,8.5,8.5,7,tidak lulus
708,Ware,Enderlein,wenderleinjn@microsoft.com,Perempuan,SMA 7,9,6.5,8.5,9,7,7,9,7.5,9,6.5,8.5,pertimbangan
709,Patrick,Elsley,pelsleyjo@blogspot.com,Perempuan,SMA 10,6.5,8.5,7,7.5,8,6.5,6.5,6.5,9,7.5,8,pertimbangan
710,Janaye,Abbitt,jabbittjp@sakura.ne.jp,Perempuan,SMA 11,9,6.5,7,7,9,6.5,8,8.5,7,8,7,lulus
711,Paloma,Rodgier,prodgierjq@mtv.com,Laki-laki,SMA 7,7,8.5,8.5,9,9,7,8,8.5,8,9,9,tidak lulus
